Tablica	InsertionSort-Porownania	InsertionSort-Przestawienia	InsertionSort-Czas	InsertionSort-c/n	InsertionSort-s/n	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	Hybrid-Porownania	Hybrid-Przestawienia	Hybrid-Czas	Hybrid-c/n	Hybrid-s/n
66	1097	1097	0	16	16	313	400	0	4	6	288	110	0	4	1	330	300	0	5	4	253	164	0	3	2
67	1137	1137	0	16	16	327	408	0	4	6	283	112	0	4	1	340	312	0	5	4	281	163	0	4	2
68	1220	1220	0	17	17	332	416	0	4	6	199	128	0	2	1	366	303	0	5	4	270	170	0	3	2
69	1222	1222	0.015	17	17	329	424	0	4	6	354	111	0	5	1	365	316	0	5	4	273	170	0	3	2
70	1061	1061	0	15	15	341	432	0	4	6	266	117	0	3	1	410	326	0	5	4	299	168	0	4	2
71	1306	1306	0	18	18	345	440	0	4	6	346	117	0	4	1	377	311	0	5	4	284	178	0	4	2
72	1444	1444	0	20	20	362	448	0	5	6	297	125	0	4	1	360	280	0	5	3	313	178	0	4	2
73	1428	1428	0	19	19	368	456	0	5	6	276	127	0	3	1	448	360	0	6	4	316	180	0	4	2
74	1563	1563	0	21	21	373	464	0	5	6	381	124	0	5	1	431	340	0	5	4	288	191	0	3	2
75	1536	1536	0	20	20	371	472	0	4	6	341	128	0	4	1	406	305	0	5	4	331	187	0	4	2
76	1463	1463	0	19	19	392	480	0	5	6	349	130	0	4	1	412	315	0	5	4	324	185	0	4	2
77	1519	1519	0	19	19	387	488	0	5	6	291	130	0	3	1	446	415	0	5	5	332	186	0	4	2
78	1606	1606	0	20	20	390	496	0	5	6	355	136	0	4	1	448	357	0	5	4	370	191	0	4	2
79	1495	1495	0	18	18	394	504	0	4	6	372	132	0	4	1	488	312	0	6	3	386	196	0	4	2
80	1669	1669	0	20	20	415	512	0	5	6	266	146	0	3	1	539	388	0	6	4	348	202	0	4	2
81	1584	1584	0	19	19	419	520	0	5	6	356	140	0	4	1	490	345	0	6	4	379	202	0	4	2
82	1614	1614	0	19	19	421	528	0.016	5	6	304	147	0	3	1	471	361	0	5	4	428	203	0	5	2
83	1691	1691	0	20	20	426	536	0	5	6	348	140	0	4	1	488	387	0	5	4	320	208	0	3	2
84	2155	2155	0	25	25	428	544	0	5	6	318	161	0	3	1	494	364	0	5	4	411	209	0	4	2
85	2035	2035	0	23	23	443	552	0	5	6	552	150	0	6	1	489	364	0	5	4	340	214	0	4	2
86	2013	2013	0	23	23	446	560	0	5	6	442	148	0	5	1	609	402	0	7	4	323	222	0	3	2
87	2004	2004	0	23	23	455	568	0	5	6	352	149	0	4	1	484	381	0	5	4	395	213	0	4	2
88	2176	2176	0	24	24	455	576	0	5	6	347	159	0	3	1	519	457	0	5	5	369	225	0	4	2
89	2020	2020	0	22	22	471	584	0	5	6	560	146	0	6	1	507	357	0	5	4	505	226	0	5	2
90	2038	2038	0	22	22	473	592	0	5	6	415	156	0	4	1	610	407	0	6	4	417	224	0	4	2
91	1953	1953	0	21	21	484	600	0	5	6	386	164	0	4	1	537	388	0	5	4	486	223	0	5	2
92	2023	2023	0.016	21	21	479	608	0	5	6	386	165	0	4	1	591	438	0	6	4	373	232	0	4	2
93	1985	1985	0	21	21	494	616	0	5	6	428	161	0	4	1	564	350	0	6	3	406	241	0	4	2
94	2306	2306	0	24	24	508	624	0	5	6	380	174	0	4	1	540	426	0	5	4	403	238	0	4	2
95	2268	2268	0	23	23	515	632	0	5	6	403	172	0	4	1	603	474	0	6	4	438	243	0	4	2
96	2474	2474	0	25	25	519	640	0	5	6	418	183	0	4	1	567	426	0	5	4	393	248	0	4	2
97	2206	2206	0	22	22	520	648	0	5	6	504	166	0	5	1	616	413	0	6	4	451	242	0	4	2
98	2507	2507	0	25	25	523	656	0	5	6	407	176	0	4	1	580	481	0	5	4	441	253	0	4	2
99	2701	2701	0	27	27	540	664	0	5	6	444	181	0	4	1	590	437	0	5	4	476	260	0	4	2
100	2584	2584	0	25	25	554	672	0	5	6	529	175	0	5	1	655	454	0	6	4	420	260	0	4	2
