Tablica	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	Hybrid-Porownania	Hybrid-Przestawienia	Hybrid-Czas	Hybrid-c/n	Hybrid-s/n
61	290	363	0	4	5	298	99	0	4	1	331	228	0	5	3	315	306	0	5	5
62	288	370	0	4	5	252	100	0	4	1	341	285	0	5	4	334	325	0	5	5
63	300	377	0	4	5	224	107	0	3	1	328	288	0	5	4	343	308	0	5	4
64	300	384	0	4	6	229	104	0	3	1	318	277	0	4	4	329	313	0	5	4
65	313	392	0	4	6	260	111	0	4	1	345	258	0	5	3	345	310	0	5	4
66	319	400	0	4	6	289	109	0	4	1	351	309	0	5	4	324	326	0	4	4
67	326	408	0	4	6	260	119	0	3	1	395	327	0	5	4	363	319	0	5	4
68	331	416	0	4	6	305	114	0	4	1	407	300	0	5	4	363	340	0	5	5
69	342	424	0	4	6	294	113	0	4	1	348	256	0	5	3	364	329	0	5	4
70	347	432	0	4	6	266	119	0	3	1	383	318	0	5	4	358	322	0	5	4
71	344	440	0	4	6	285	112	0	4	1	373	296	0	5	4	397	351	0	5	4
72	359	448	0	4	6	264	120	0.016	3	1	436	294	0	6	4	412	351	0	5	4
73	366	456	0	5	6	345	127	0	4	1	554	300	0	7	4	419	355	0	5	4
74	378	464	0	5	6	351	124	0	4	1	386	355	0	5	4	395	351	0	5	4
75	373	472	0	4	6	323	137	0	4	1	454	377	0	6	5	403	353	0	5	4
76	386	480	0	5	6	377	127	0	4	1	426	365	0	5	4	451	355	0	5	4
77	386	488	0	5	6	494	129	0	6	1	421	314	0	5	4	417	391	0	5	5
78	390	496	0	5	6	324	137	0	4	1	412	367	0	5	4	417	413	0	5	5
79	408	504	0	5	6	285	146	0	3	1	426	310	0	5	3	426	393	0	5	4
80	421	512	0	5	6	437	142	0	5	1	455	395	0	5	4	442	391	0	5	4
81	418	520	0	5	6	390	135	0	4	1	441	361	0	5	4	439	392	0	5	4
82	423	528	0	5	6	314	146	0	3	1	458	390	0	5	4	462	392	0	5	4
83	427	536	0	5	6	355	144	0	4	1	556	336	0	6	4	474	417	0	5	5
84	436	544	0	5	6	403	144	0	4	1	524	371	0	6	4	472	414	0	5	4
85	444	552	0	5	6	377	151	0	4	1	487	390	0	5	4	514	428	0	6	5
86	454	560	0	5	6	448	149	0	5	1	464	349	0	5	4	510	446	0	5	5
87	462	568	0	5	6	360	158	0	4	1	548	382	0	6	4	519	451	0	5	5
88	473	576	0	5	6	476	153	0	5	1	499	406	0	5	4	504	469	0	5	5
89	475	584	0	5	6	371	154	0	4	1	601	345	0	6	3	524	456	0	5	5
90	464	592	0	5	6	379	155	0	4	1	635	443	0	7	4	530	452	0	5	5
91	482	600	0	5	6	433	163	0	4	1	519	429	0	5	4	503	459	0	5	5
92	489	608	0	5	6	441	166	0	4	1	646	370	0	7	4	597	428	0	6	4
93	495	616	0	5	6	445	168	0	4	1	589	501	0	6	5	520	471	0	5	5
94	506	624	0	5	6	463	162	0	4	1	653	408	0	6	4	549	492	0	5	5
95	506	632	0.015	5	6	383	179	0	4	1	555	440	0	5	4	560	483	0	5	5
96	509	640	0	5	6	560	171	0	5	1	637	429	0	6	4	572	523	0	5	5
97	521	648	0	5	6	367	177	0	3	1	578	399	0	5	4	584	468	0	6	4
98	534	656	0	5	6	511	170	0	5	1	588	441	0	6	4	588	495	0	6	5
99	537	664	0	5	6	454	186	0	4	1	561	459	0	5	4	587	452	0	5	4
100	548	672	0	5	6	471	184	0	4	1	622	493	0	6	4	665	465	0	6	4
